F_INFO_WINDCODE,PRICE_DATE,F_NAV_UNIT,F_NAV_ACCUMULATED,F_NAV_ADJUSTED,IS_EXDIVIDENDDATE,F_NAV_DISTRIBUTION,分配字段日差,S_INFO_WINDCODE,TRADE_DT,S_DQ_PRECLOSE,S_DQ_CLOSE,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,前一日原始收盘价,原收盘减除权昨收,复权因子变化,分配日差与价格除权差额误差
510050.SH,20050204,0.873,0.873,1.0335,1,0.0,0.0,,,,,,,,,,
510050.SH,20060519,1.103,1.334,1.33506507,1,0.024,0.024,510050.SH,20060519,1.081,1.101,1.125,1.022202,1.105,0.02400000000000002,0.022202000000000055,-2.0816681711721685e-17
510050.SH,20061116,1.298,1.609,1.61608456,1,0.061,0.037,510050.SH,20061116,1.296,1.302,1.369,1.051385,1.333,0.03699999999999992,0.02918299999999996,7.632783294297951e-17
510050.SH,20081119,1.539,1.965,1.99505116,1,0.121,0.06,510050.SH,20081119,1.435,1.535,1.681,1.095345,1.495,0.06000000000000005,0.04396,-5.551115123125783e-17
510050.SH,20101116,2.021,2.567,2.65202778,1,0.147,0.025999999999999995,510050.SH,20101116,2.115,2.02,2.24,1.10881,2.141,0.0259999999999998,0.01346500000000006,1.942890293094024e-16
510050.SH,20120516,1.777,2.291,2.34606877,1,0.158,0.01100000000000001,510050.SH,20120516,1.8,1.775,1.98,1.115586,1.811,0.010999999999999899,0.006775999999999893,1.1102230246251565e-16
510050.SH,20121113,1.575,2.095,2.12743566,1,0.195,0.037000000000000005,510050.SH,20121113,1.599,1.577,1.8,1.1414,1.636,0.03699999999999992,0.025814000000000004,8.326672684688674e-17
510050.SH,20131115,1.602,2.19,2.23695504,1,0.248,0.05299999999999999,510050.SH,20131115,1.569,1.6,1.888,1.179956,1.622,0.05300000000000016,0.038556000000000035,-1.6653345369377348e-16
510050.SH,20141117,1.708,2.366,2.44431646,1,0.291,0.04299999999999998,510050.SH,20141117,1.731,1.709,2.067,1.209267,1.774,0.04299999999999993,0.029311000000000087,5.551115123125783e-17
510050.SH,20161129,2.443,3.299,3.5732206,1,0.344,0.05299999999999999,510050.SH,20161129,2.407,2.446,3.023,1.235894,2.46,0.052999999999999936,0.026626999999999956,5.551115123125783e-17
510050.SH,20171128,2.899,3.903,4.31862398,1,0.398,0.05400000000000005,510050.SH,20171128,2.912,2.896,3.646,1.258812,2.966,0.05400000000000027,0.022917999999999994,-2.220446049250313e-16
510050.SH,20181203,2.486,3.472,3.77818054,1,0.447,0.04899999999999999,510050.SH,20181203,2.425,2.482,3.188,1.284248,2.474,0.04900000000000038,0.025436000000000014,-3.885780586188048e-16
510050.SH,20191202,2.899,4.017,4.47740412,1,0.494,0.046999999999999986,510050.SH,20191202,2.891,2.897,3.781,1.305126,2.938,0.04700000000000015,0.020877999999999952,-1.6653345369377348e-16
510050.SH,20201130,3.472,4.755,5.44049783,1,0.545,0.051000000000000045,510050.SH,20201130,3.506,3.473,4.599,1.324111,3.557,0.051000000000000156,0.01898500000000003,-1.1102230246251565e-16
510050.SH,20211129,3.185,4.464,5.05500459,1,0.586,0.040999999999999925,510050.SH,20211129,3.182,3.182,4.268,1.341172,3.223,0.040999999999999925,0.017060999999999993,0.0
510050.SH,20221201,2.635,3.857,4.2413701,1,0.623,0.03700000000000003,510050.SH,20221201,2.608,2.632,3.58,1.360199,2.645,0.03699999999999992,0.019026999999999905,1.1102230246251565e-16
510050.SH,20231127,2.406,3.632,3.93499758,1,0.662,0.039000000000000035,510050.SH,20231127,2.428,2.407,3.327,1.382047,2.467,0.039000000000000146,0.02184800000000009,-1.1102230246251565e-16
510050.SH,20241202,2.6903,4.0337,4.49039786,1,0.717,0.05499999999999994,510050.SH,20241202,2.677,2.688,3.791,1.410442,2.732,0.05500000000000016,0.028394999999999948,-2.220446049250313e-16
510050.SH,20251217,3.0582,4.5639,5.23971113,1,0.797,0.08000000000000007,510050.SH,20251217,3.023,3.058,4.427,1.447768,3.103,0.08000000000000007,0.03732599999999997,0.0
